USER_ID	ROLE	NAME	PHONE	ACTIVE_FLAG	EMAIL
cmsatest9	SUPERADMIN	cmsatest9	(null)	Y	cmsatest9@wellsfargo.com
cmsatest8	ADMIN	cmsatest8	(null)	Y	cmsatest8@wellsfargo.com
cmsatest7	ADMIN	cmsatest7	(null)	Y	cmsatest7@wellsfargo.com
cmsatest6	ADMIN	cmsatest6	(null)	Y	cmsatest6@wellsfargo.com
cmsatest5	SUPERADMIN	cmsatest5	(null)	Y	cmsatest5@wellsfargo.com
cmsatest4	ADMIN	cmsatest4	(null)	Y	cmsatest4@wellsfargo.com
cmsatest3	SUPERADMIN	cmsatest3	(null)	Y	cmsatest3@wellsfargo.com
cmsatest2	ADMIN	cmsatest2	(null)	Y	cmsatest2@wellsfargo.com
cmsatest10	TECH	cmsatest10	(null)	Y	cmsatest10@wellsfargo.com
cmsatest1	ADMIN	cmsatest1	(null)	Y	cmsatest1@wellsfargo.com
